playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper,foo
"2495867","null","Greg Jennings","WR","MIA","WR","MIA","-47.9646","72.5715","null","223","218","75","null","3.8563","160.64","-58.36","0","87.6411","53.6413","2.4493","61",
"2507883","null","Jeff Cumberland","TE","NYJ","TE","NYJ","-48.1646","52.1006","null","308","219","32","null","1.4794","178.3233","-41.6767","0","63.7278","31.0623","2.5454","null",
"2550636","null","Cairo Santos","K","KC","K","KC","-48.3789","125.0008","null","330","220","20","null","1.0099","165.95","-55.05","0","136.7972","117.5746","3.5414","19",
"2507218","null","Brent Celek","TE","PHI","TE","PHI","-48.5976","51.6676","null","278","221","33","null","2.1562","167.0367","-54.9633","0","60.7558","35.8341","2.8008","null",
"2507225","null","Nick Folk","K","NYJ","K","NYJ","-48.6597","124.7201","null","345","222","21","null","1.5135","159.962","-63.038","0","142.8963","106.7531","3.5083","20",
"100020","null","Vikings","DST","MIN","DST","MIN","-48.9868","97.9912","null","259","223","25","null","2.6362","144.025","-79.975","1.3","108.7506","79.4948","2.5113","23",
"2552376","null","David Cobb","RB","TEN","RB","TEN","-49.19","79.5838","null","126","224","49","null","2.586","121.4067","-103.5933","1.4","105.0143","46.54","5.2394","18",
"2506386","null","Mike Nugent","K","CIN","K","CIN","-50.118","123.2617","null","335","225","22","null","2.4707","155.7325","-70.2675","0","137.689","115.6701","3.9795","14",
"2534797","null","Greg Zuerlein","K","STL","K","STL","-50.2283","123.1515","null","338","226","23","null","4.9667","159.838","-67.162","0","138.3858","114.5777","4.0233","12",
"100027","null","Steelers","DST","PIT","DST","PIT","-50.4506","96.5274","null","298","227","26","null","2.7712","146.475","-81.525","0","115.4333","71","4.0399","16",
"324","null","Jacob Tamme","TE","ATL","TE","ATL","-50.6903","49.575","null","257","228","34","null","1.0981","161.41","-67.59","0","67.4957","26.9806","3.7724","null",
"2495288","null","Virgil Green","TE","DEN","TE","DEN","-50.8174","49.4479","null","247","229","35","null","2.0878","152.2375","-77.7625","0","67.2488","5.0123","5.9794","null",
"2532864","null","Dan Herron","RB","IND","RB","IND","-51.4293","77.3446","null","201","230","50","null","2.3635","152.7025","-78.2975","1.2","101.3312","60.048","2.184","39",
"2533040","null","Mohamed Sanu","WR","CIN","WR","CIN","-51.6079","68.9282","null","238","231","76","null","0.7342","153.186","-78.814","0","89.1196","44.5121","3.2691","37",
"2495143","null","Andy Dalton","QB","CIN","QB","CIN","-51.8438","274.8456","null","137","232","22","null","6.1198","143.35","-89.65","3.3","306.7817","248.0724","2.8352","27",
"2506313","null","Nate Washington","WR","HOU","WR","HOU","-52.034","68.5021","null","260","233","77","null","0.8491","174.2567","-59.7433","0","92.2054","45.7623","2.7618","50",
"2533030","null","Jonas Gray","RB","NE","RB","NE","-52.1228","76.651","null","179","234","51","null","4.4027","132.09","-102.91","1.3","102.0467","43.1207","5.9433","9",
"497320","null","Andre Roberts","WR","WAS","WR","WAS","-52.6503","67.8858","null","356","235","78","null","0.7943","163.1567","-72.8433","0","82.5175","35.4706","3.6668","23",
"2552466","null","Marcus Mariota","QB","TEN","QB","TEN","-52.6796","274.0097","null","154","236","23","null","11.1803","127.038","-109.962","3.5","299.0884","236.106","3.7094","30",
"2543794","null","Crockett Gillmore","TE","BAL","TE","BAL","-52.7593","47.506","null","310","237","36","null","1.4742","167.67","-70.33","0","62.1516","19.9","4.2059","null",
"100022","null","Saints","DST","NO","DST","NO","-52.7955","94.1825","null","297","238","27","null","4.7362","168.4933","-70.5067","0","109.9256","64.2006","4.6968","10",
"2495187","null","Lance Kendricks","TE","STL","TE","STL","-53.051","47.2142","null","327","239","37","null","2.9886","165.4833","-74.5167","0","55.8255","29.478","3.2527","null",
"2552430","null","Tyler Lockett","WR","SEA","WR","SEA","-53.1159","67.4202","null","221","240","79","null","0.7396","145.0867","-95.9133","0","81.8837","45.5357","3.2336","35",
"100012","null","Titans","DST","TEN","DST","TEN","-53.648","93.33","null","277","241","28","null","8.0479","171.22","-70.78","0","111.4347","47.4006","7.1358","2",
"2540145","null","Cordarrelle Patterson","WR","MIN","WR","MIN","-53.7733","66.7628","null","249","242","80","null","0.2981","150.194","-92.806","0","84.9342","33.4975","3.4824","20",
"2552424","null","Phillip Dorsett","WR","IND","WR","IND","-53.9377","66.5984","null","176","243","81","null","0.5303","142.9667","-101.0333","0","96.2469","34.9169","4.9439","11",
"2543475","null","Marqise Lee","WR","JAC","WR","JAC","-54.205","66.3311","null","206","244","82","null","0.7831","167.7533","-77.2467","0","93.2031","43.4063","8.2957","9",
"2552429","null","Ty Montgomery","WR","GB","WR","GB","-54.7309","65.8052","null","175","245","83","null","1.6053","151.262","-94.738","0","89.7796","40.5864","4.4967","13",
"2504257","null","Sebastian Janikowski","K","OAK","K","OAK","-54.9493","118.4304","null","342","246","24","null","1.012","145.506","-101.494","0","132.6562","107.5518","4.5702","9",
"2506004","null","Jerricho Cotchery","WR","CAR","WR","CAR","-55.2454","65.2907","null","225","247","84","null","2.2377","161.88","-86.12","0","96.9822","47.491","4.0756","8",
"2495888","null","Marcedes Lewis","TE","JAC","TE","JAC","-55.4159","44.8493","null","343","248","38","null","1.6286","176.64","-72.36","0","58.1367","30.9609","2.6698","null",
"2506264","null","Robbie Gould","K","CHI","K","CHI","-55.4407","117.9391","null","331","249","25","null","2.0238","153.5325","-96.4675","0","135.4578","96.056","2.2187","27",
"2543565","null","Andre Williams","RB","NYG","RB","NYG","-55.4627","73.3112","null","146","250","52","null","2.8545","137.5933","-113.4067","1.3","95.2946","28.8672","3.5856","27",
"2506063","null","Josh Scobee","K","JAC","K","JAC","-56.4819","116.8978","null","323","251","26","null","4.331","164.9575","-87.0425","0","141.7249","0.4862","8.489","3",
"2508112","null","Rob Housler","TE","CLE","TE","CLE","-56.6633","43.6019","null","305","252","39","null","1.039","189.54","-63.46","0","61.2633","7.8132","6.0311","null",
"497238","null","Jermaine Gresham","TE","ARI","TE","ARI","-57.4259","42.8393","null","339","253","40","null","1.0485","177.0067","-76.9933","0","65.635","16.7049","4.6496","null",
"2540157","null","Stedman Bailey","WR","STL","WR","STL","-57.427","63.1091","null","204","254","85","null","1.4924","152.0533","-102.9467","0","93.7455","24.7029","5.7444","7",
"2535869","null","Rod Streater","WR","OAK","WR","OAK","-57.5392","62.9969","null","280","255","86","null","3.4417","182.1133","-73.8867","0","84.6921","23.3652","4.2154","25",
"2543664","null","Terrance West","RB","CLE","RB","CLE","-57.5884","71.1854","null","182","256","53","null","1.6233","154.5967","-102.4033","1.1","84.9638","36.1759","2.5905","37",
"497258","null","Andrew Quarless","TE","GB","TE","GB","-57.9786","42.2866","null","320","257","41","null","1.7106","162.0567","-95.9433","0","55.2138","27.7114","2.777","null",
"2495150","null","Kai Forbath","K","WAS","K","WAS","-58.447","114.9327","null","341","258","27","null","5.3177","164.5467","-94.4533","0","128.4134","100.7947","4.2582","10",
"2540211","null","Gavin Escobar","TE","DAL","TE","DAL","-58.97","41.2952","null","344","259","42","null","2.7287","178.23","-81.77","0","58.021","14.0764","3.9066","null",
"2553435","null","David Johnson","RB","ARI","RB","ARI","-59.0459","69.7279","null","134","260","54","null","0.9009","131.05","-129.95","1.3","87.8183","16.1003","4.3092","21",
"2552635","null","Matt Jones","RB","WAS","RB","WAS","-59.3774","69.3965","null","165","261","55","null","1.3565","145.638","-116.362","2.1","87.2727","27.6013","4.5286","17",
"222","null","Harry Douglas","WR","TEN","WR","TEN","-60.2996","60.2365","null","248","262","87","null","1.5425","164.4233","-98.5767","0","80.3825","38.0155","2.9104","59",
"2495573","null","Scott Chandler","TE","NE","TE","NE","-60.4085","39.8567","null","312","263","43","null","4.3855","165.7433","-98.2567","0","53.3996","18.7553","3.7044","null",
"2533437","null","Ronnie Hillman","RB","DEN","RB","DEN","-60.5163","68.2575","null","169","264","56","null","0.8393","133.7883","-131.2117","1.7","87.0517","18.1","3.4989","24",
"2543704","null","Lorenzo Taliaferro","RB","BAL","RB","BAL","-60.9515","67.8223","null","195","265","57","null","2.5384","157.645","-108.355","1.1","86.718","55.5262","3.1422","38",
"100005","null","Bears","DST","CHI","DST","CHI","-61.4153","85.5627","null","289","266","29","null","4.6572","155.2025","-111.7975","0","101.1036","76.8006","4.5227","11",
"2532978","null","Jarius Wright","WR","MIN","WR","MIN","-61.6621","58.874","null","263","267","88","null","0.4836","148.87","-119.13","0","69.9681","49.1","2.878","null",
"2539260","null","Denard Robinson","RB","JAC","RB","JAC","-61.7598","67.0141","null","180","268","58","null","4.9119","151.524","-117.476","1.1","86.9536","11.3642","4.7366","10",
"100028","null","Chargers","DST","SD","DST","SD","-61.9764","85.0016","null","301","269","30","null","15.0197","169.5867","-100.4133","0","103.8901","56","2.8972","21",
"2543750","null","Jeff Janis","WR","GB","WR","GB","-62.022","58.5141","null","183","270","89","null","0.494","154.474","-116.526","0","86.0834","35.6","4.6761","5",
"2649","null","Danny Amendola","WR","NE","WR","NE","-62.2695","58.2666","null","245","271","90","null","0.6979","156.2333","-115.7667","0","77.7639","36.1452","2.616","null",
"2550617","null","Taylor Gabriel","WR","CLE","WR","CLE","-62.7627","57.7734","null","236","272","91","null","0.8371","132.3267","-140.6733","0","79.1862","37.0612","3.7468","null",
"2552397","null","Clive Walford","TE","OAK","TE","OAK","-62.9888","37.2764","null","296","273","44","null","4.508","149.1367","-124.8633","0","57.5139","2","6.0398","null",
"2495453","null","Andre Holmes","WR","OAK","WR","OAK","-63.172","57.3641","null","353","274","92","null","1.3231","186.9667","-88.0333","0","75.6627","25.8115","3.1798","null",
"2507463","null","Connor Barth","K","TB","K","TB","-63.1788","110.2009","null","374","275","28","null","1.6378","135.726","-140.274","1.2","158.8309","0","9.9633","1",
"2543477","null","Blake Bortles","QB","JAC","QB","JAC","-63.2475","263.4418","null","172","276","24","null","2.0888","147.568","-129.432","0","294.0538","221.0327","3.6388","25",
"2541891","null","Devin Smith","WR","NYJ","WR","NYJ","-64.0276","56.5085","null","272","277","93","null","1.6211","141.925","-136.075","0","95.6188","-0.02","7.2777","1",
"89802","null","Ryan Succop","K","TEN","K","TEN","-64.3507","109.029","null","346","278","29","null","10.7342","161.5867","-117.4133","0","124.5343","92.5477","4.0154","13",
"2552033","null","Jameis Winston","QB","TB","QB","TB","-64.4724","262.2169","null","156","279","25","null","3.3405","128.442","-151.558","3.7","300.8284","206.1557","4.3592","13",
"2530660","null","Kamar Aiken","WR","BAL","WR","BAL","-64.9626","55.5735","null","239","280","94","null","2.2204","161.79","-119.21","0","77.2836","-0.892","6.5272","null",
"497206","null","James Starks","RB","GB","RB","GB","-65.22","63.5539","null","210","281","59","null","3.8704","157.892","-124.108","0","75.105","42.0897","2.8103","null",
"2539227","null","Dustin Hopkins","K","NO","K","NO","-65.2826","108.0972","null","288","282","30","null","21.3626","159.466","-123.534","0","129.8286","0","5.1014","7",
"2543499","null","Derek Carr","QB","OAK","QB","OAK","-66.2003","260.4891","null","161","283","26","null","22.9068","133.566","-150.434","3.1","288.9535","205.9597","5.3306","23",
"2495158","null","Leonard Hankerson","WR","ATL","WR","ATL","-66.3349","54.2012","null","208","284","95","null","2.1866","158.3225","-126.6775","0","84.2896","5.7377","5.8656","2",
"2541199","null","Luke Willson","TE","SEA","TE","SEA","-66.5992","33.666","null","370","285","45","null","2.0195","164.3725","-121.6275","0","45.4364","17.6643","3.0451","null",
"2541199","null","Luke Willson","TE","SEA","TE","SEA","-66.5992","33.666","null","370","285","45","null","2.0195","164.3725","-121.6275","0","45.4364","17.6643","3.0451","null",
"497282","null","Riley Cooper","WR","PHI","WR","PHI","-68.0311","52.505","null","287","286","96","null","1.0215","172.8867","-115.1133","0","67.7576","38.8937","2.4401","null",
"2543715","null","Jerick McKinnon","RB","MIN","RB","MIN","-68.1235","60.6504","null","177","287","60","null","2.0476","152.5875","-136.4125","1.1","73.8982","43.8207","2.7096","null",
"2540200","null","Dion Sims","TE","MIA","TE","MIA","-68.3944","31.8708","null","348","288","46","null","1.0675","182.6467","-107.3533","0","38.3144","22.4794","3.6125","null",
"1060","null","Gary Barnidge","TE","CLE","TE","CLE","-68.8431","31.4221","null","354","289","47","null","2.055","161.2433","-129.7567","0","47.5834","1.3931","6.455","null",
"2504747","null","Reggie Wayne","WR","NE","WR","NE","-69.0119","51.5242","null","212","290","97","null","0.1257","139.9583","-152.0417","1.9","74.7094","25.3006","4.3569","null",
"2540177","null","Marquess Wilson","WR","CHI","WR","CHI","-69.0933","51.4428","null","214","291","98","null","0.4152","174.3467","-118.6533","0","66.5296","29.47","4.9963","null",
"2552463","null","Jaelen Strong","WR","HOU","WR","HOU","-69.182","51.3541","null","217","292","99","null","0.8105","138.15","-155.85","0","72.2287","5.6092","8.2299","null",
"2532842","null","Nick Foles","QB","STL","QB","STL","-69.4256","257.2637","null","187","293","27","null","49.4086","143.964","-151.036","0","277.3405","234.1382","5.8369","16",
"2550272","null","Albert Wilson","WR","KC","WR","KC","-69.8351","50.7011","null","253","294","100","null","0.3987","150.86","-145.14","0","67.1704","23.9329","2.3345","null",
"2535708","null","Lance Dunbar","RB","DAL","RB","DAL","-70.0573","58.7165","null","193","295","61","null","0.9742","164.8475","-132.1525","0","84.8489","16.2206","4.3911","13",
"2540928","null","Darren Fells","TE","ARI","TE","ARI","-70.0807","30.1845","null","269","296","48","null","1.6461","175.3267","-122.6733","0","42.8949","-0.3446","5.8373","null",
"2506897","null","Devin Hester","WR","ATL","WR","ATL","-70.1499","50.3862","null","282","297","101","null","1.3416","160.8733","-138.1267","0","60.4908","34.6068","2.5937","null",
"100032","null","Redskins","DST","WAS","DST","WAS","-70.1687","76.8094","null","313","298","31","null","null","165.3733","-134.6267","0","101.0383","47.5029","9.4815","1",
"2550658","null","Branden Oliver","RB","SD","RB","SD","-70.2849","58.4889","null","250","299","62","null","2.018","159.0725","-141.9275","0","84.1914","32.4589","3.3692","32",
"2552652","null","Chris Conley","WR","KC","WR","KC","-70.3177","50.2184","null","307","300","102","null","2.8442","150.2767","-151.7233","0","73.6489","3.1606","4.3734","null",
"2540203","null","Levine Toilolo","TE","ATL","TE","ATL","-71.7155","28.5497","null","381","301","49","null","0.0588","160.475","-142.525","0","41.6778","4.2583","3.0177","null",
"2543481","null","Jace Amaro","TE","NYJ","TE","NYJ","-71.7382","28.5271","null","null","302","50","null","1.0238","174.5967","-129.4033","0","66.7017","0","12.0288","null",
"2495979","null","DeAngelo Williams","RB","PIT","RB","PIT","-71.7781","56.9957","null","190","303","63","null","1.7032","129.5267","-175.4733","1.3","75.4347","42.4","4.5591","null",
"2541768","null","Tim Wright","TE","TB","TE","TB","-71.8106","28.4547","null","347","304","51","null","2.2037","146.64","-159.36","0","47.065","0","7.4996","null",
"2540151","null","Justin Hunter","WR","TEN","WR","TEN","-72.6651","47.871","null","218","305","103","null","1.0322","169.9067","-137.0933","0","70.2516","6.1067","4.5223","null",
"2550512","null","Damien Williams","RB","MIA","RB","MIA","-72.8277","55.9461","null","240","306","64","null","1.6664","163.65","-144.35","0","72.1422","36.8235","3.2629","null",
"2552491","null","Dorial Green-Beckham","WR","TEN","WR","TEN","-73.6586","46.8775","null","173","307","104","null","0.1759","133.9","-175.1","1.9","68.8032","-1.4894","6.0776","null",
"2495835","null","Anthony Fasano","TE","TEN","TE","TEN","-73.7133","26.5519","null","365","308","52","null","0.7229","160.475","-149.525","0","41.8705","11.14","4.6055","null",
"2508048","null","Mike Williams","WR","FA","WR","FA","-73.7361","46.8","null","null","309","105","null","0.7516","160.495","-150.505","0","37.9321","0","10.8984","null",
"2553432","null","Kevin White","WR","CHI","WR","CHI","-73.9329","46.6032","null","186","310","106","null","1.4551","115.8825","-196.1175","0","70.7106","0.5902","6.708","null",
"497190","null","Dexter McCluster","RB","TEN","RB","TEN","-74.1348","54.639","null","null","311","65","null","1.4768","177.17","-135.83","0.6667","75.8778","23.7","2.9463","null",
"2534241","null","Derek Carrier","TE","WAS","TE","WAS","-74.3153","25.95","null","null","312","53","null","0.7787","186.3267","-127.6733","0","32.2096","-0.4714","5.9797","null",
"497254","null","Dennis Pitta","TE","BAL","TE","BAL","-74.5572","25.708","null","null","313","54","null","1.1083","178.8433","-136.1567","0","54.8624","0","6.6661","null",
"2539341","null","Montee Ball","RB","DEN","RB","DEN","-74.8535","53.9204","null","199","314","66","null","1.8173","145.858","-170.142","1.3","80.2248","33.2371","3.8389","34",
"80672","null","Hakeem Nicks","WR","TEN","WR","TEN","-75.0425","45.4937","null","256","315","107","null","1.1829","168.2333","-148.7667","0","61.9178","30.8035","4.2173","null",
"497256","null","Tony Moeaki","TE","ATL","TE","ATL","-75.6308","24.6344","null","362","316","55","null","0.4643","162.8833","-155.1167","0","39.7596","10.84","4.0655","null",
"497224","null","Ed Dickson","TE","CAR","TE","CAR","-75.7003","24.5649","null","364","317","56","null","1.1035","178.32","-140.68","0","28.6253","14.6537","3.4764","null",
"2543638","null","DeAnthony Thomas","WR","KC","WR","KC","-75.7336","44.8025","null","null","318","108","null","1.3966","171.25","-148.75","0.6667","57.3827","12.25","3.8941","null",
"2543638","null","DeAnthony Thomas","RB","KC","RB","KC","-76.3697","52.4041","null","null","319","67","null","1.1796","171.25","-149.75","0.6667","57.3827","12.25","3.4539","null",
"2506619","null","Daniel Fells","TE","NYG","TE","NYG","-76.4898","23.7754","null","351","320","57","null","0.6866","160.475","-161.525","0","34.1724","1.4","3.1491","null",
"80670","null","Louis Murphy","WR","TB","WR","TB","-76.7172","43.8189","null","409","321","109","null","1.4518","145.33","-177.67","0","61.6287","1.7721","3.1801","null",
"2543773","null","James White","RB","NE","RB","NE","-76.9719","51.802","null","200","322","68","null","1.6585","161.0667","-162.9333","0","82.3318","0.7","5.4211","4",
"2543628","null","Troy Niklas","TE","ARI","TE","ARI","-77.1178","23.1474","null","387","323","58","null","0.3354","160.495","-164.505","0","55.0599","0.0348","9.0805","null",
